-8	0.0833
-5	0.0833
0	0.0833
4	0.0833
7	0.0833
9	0.0833

11	0.0833
6	0.0833
2	0.0833
-1	0.0833
-6	0.0833
-10	0.0833

-12	0.0833
-8	0.0833
-3	0.0833
0	0.0833
4	0.0833
6	0.0833

7	0.0833
2	0.0833
-1	0.0833
-5	0.0833
-10	0.0833
-13	0.0833

-15	0.0833
-12	0.0833
-8	0.0833
4	0.0833
-3	0.0833
0	0.0833

9	0.0833
-12	0.0833
-8	0.0833
4	0.0833
-3	0.0833
0	0.0833

-6	0.0833
-12	0.0833
-8	0.0833
4	0.0833
-3	0.0833
0	0.0833

9	0.0833
-12	0.0833
-5	0.0833
12	0.0833
0	0.0833
4	0.0833

-22	0.0833
-15	0.0833
-12	0.0833
12	0.1000
-6	0.1200
-3	0.1500

0	0.1800
4	0.2100
6	0.2500
4	0.3000
11	0.4500
9	0.6000

7	1.0000
